dtcode23,dtcode11,stdtname,dtname,dtusename,stcode11,stcode23,st2code,stname
1,14,jk_anantnag,Anantnag,anantnag,1,1,JK,JAMMU & KASHMIR
2,2,jk_badgam,Badgam,badgam,1,1,JK,JAMMU & KASHMIR
3,9,jk_bandipore,Bandipore,bandipore,1,1,JK,JAMMU & KASHMIR
4,8,jk_baramula,Baramula,baramula,1,1,JK,JAMMU & KASHMIR
5,16,jk_doda,Doda,doda,1,1,JK,JAMMU & KASHMIR
6,11,jk_ganderbal,Ganderbal,ganderbal,1,1,JK,JAMMU & KASHMIR
7,21,jk_jammu,Jammu,jammu,1,1,JK,JAMMU & KASHMIR
8,7,jk_kathua,Kathua,kathua,1,1,JK,JAMMU & KASHMIR
9,18,jk_kishtwar,Kishtwar,kishtwar,1,1,JK,JAMMU & KASHMIR
10,15,jk_kulgam,Kulgam,kulgam,1,1,JK,JAMMU & KASHMIR
11,1,jk_kupwara,Kupwara,kupwara,1,1,JK,JAMMU & KASHMIR
12,991,jk_mirpur,Mirpur,mirpur,1,1,JK,JAMMU & KASHMIR
13,992,jk_muzaffarabad,Muzaffarabad,muzaffarabad,1,1,JK,JAMMU & KASHMIR
14,12,jk_pulwama,Pulwama,pulwama,1,1,JK,JAMMU & KASHMIR
15,5,jk_punch,Punch,punch,1,1,JK,JAMMU & KASHMIR
16,6,jk_rajouri,Rajouri,rajouri,1,1,JK,JAMMU & KASHMIR
17,17,jk_ramban,Ramban,ramban,1,1,JK,JAMMU & KASHMIR
18,20,jk_reasi,Reasi,reasi,1,1,JK,JAMMU & KASHMIR
19,22,jk_samba,Samba,samba,1,1,JK,JAMMU & KASHMIR
20,13,jk_shupiyan,Shupiyan,shupiyan,1,1,JK,JAMMU & KASHMIR
21,10,jk_srinagar,Srinagar,srinagar,1,1,JK,JAMMU & KASHMIR
22,19,jk_udhampur,Udhampur,udhampur,1,1,JK,JAMMU & KASHMIR
23,30,hp_bilaspur,Bilaspur,bilaspur,2,2,HP,HIMACHAL PRADESH
24,23,hp_chamba,Chamba,chamba,2,2,HP,HIMACHAL PRADESH
25,28,hp_hamirpur,Hamirpur,hamirpur,2,2,HP,HIMACHAL PRADESH
26,24,hp_kangra,Kangra,kangra,2,2,HP,HIMACHAL PRADESH
27,34,hp_kinnaur,Kinnaur,kinnaur,2,2,HP,HIMACHAL PRADESH
28,26,hp_kullu,Kullu,kullu,2,2,HP,HIMACHAL PRADESH
29,25,hp_lahul_&_spiti,Lahul & Spiti,lahul_&_spiti,2,2,HP,HIMACHAL PRADESH
30,27,hp_mandi,Mandi,mandi,2,2,HP,HIMACHAL PRADESH
31,33,hp_shimla,Shimla,shimla,2,2,HP,HIMACHAL PRADESH
32,32,hp_sirmaur,Sirmaur,sirmaur,2,2,HP,HIMACHAL PRADESH
33,31,hp_solan,Solan,solan,2,2,HP,HIMACHAL PRADESH
34,29,hp_una,Una,una,2,2,HP,HIMACHAL PRADESH
35,49,pb_amritsar,Amritsar,amritsar,3,3,PB,PUNJAB
36,54,pb_barnala,Barnala,barnala,3,3,PB,PUNJAB
37,46,pb_bathinda,Bathinda,bathinda,3,3,PB,PUNJAB
38,45,pb_faridkot,Faridkot,faridkot,3,3,PB,PUNJAB
39,40,pb_fatehgarh_sahib,Fatehgarh Sahib,fatehgarh_sahib,3,3,PB,PUNJAB
40,701,pb_fazilka,Fazilka,fazilka,3,3,PB,PUNJAB
41,43,pb_firozpur,Firozpur,firozpur,3,3,PB,PUNJAB
42,35,pb_gurdaspur,Gurdaspur,gurdaspur,3,3,PB,PUNJAB
43,38,pb_hoshiarpur,Hoshiarpur,hoshiarpur,3,3,PB,PUNJAB
44,37,pb_jalandhar,Jalandhar,jalandhar,3,3,PB,PUNJAB
45,36,pb_kapurthala,Kapurthala,kapurthala,3,3,PB,PUNJAB
46,41,pb_ludhiana,Ludhiana,ludhiana,3,3,PB,PUNJAB
47,797,pb_malerkotla,Malerkotla,malerkotla,3,3,PB,PUNJAB
48,47,pb_mansa,Mansa,mansa,3,3,PB,PUNJAB
49,42,pb_moga,Moga,moga,3,3,PB,PUNJAB
50,773,pb_pathankot,Pathankot,pathankot,3,3,PB,PUNJAB
51,48,pb_patiala,Patiala,patiala,3,3,PB,PUNJAB
52,51,pb_rupnagar,Rupnagar,rupnagar,3,3,PB,PUNJAB
53,52,pb_sahibzada_ajit_singh_nag*,Sahibzada Ajit Singh Nag*,sahibzada_ajit_singh_nag*,3,3,PB,PUNJAB
54,53,pb_sangrur,Sangrur,sangrur,3,3,PB,PUNJAB
55,39,pb_shahid_bhagat_singh_nagar,Shahid Bhagat Singh Nagar,shahid_bhagat_singh_nagar,3,3,PB,PUNJAB
56,44,pb_sri_muktsar_sahib,Sri Muktsar Sahib,sri_muktsar_sahib,3,3,PB,PUNJAB
57,50,pb_tarn_taran,Tarn Taran,tarn_taran,3,3,PB,PUNJAB
58,55,ch_chandigarh,Chandigarh,chandigarh,4,4,CH,CHANDIGARH
59,64,"uk_almora
","Almora
","almora
",5,5,UK,UTTARAKHAND
60,63,uk_bageshwar,Bageshwar,bageshwar,5,5,UK,UTTARAKHAND
61,57,uk_chamoli,Chamoli,chamoli,5,5,UK,UTTARAKHAND
62,65,uk_champawat,Champawat,champawat,5,5,UK,UTTARAKHAND
63,60,uk_dehradun,Dehradun,dehradun,5,5,UK,UTTARAKHAND
64,61,uk_garhwal,Garhwal,garhwal,5,5,UK,UTTARAKHAND
65,68,uk_hardwar,Hardwar,hardwar,5,5,UK,UTTARAKHAND
